"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","female","some college","free/reduced","none","13","29","23"
"female","female","some college","free/reduced","none","13","36","37"
"female","female","associate's degree","free/reduced","none","23","44","44"
"female","female","some high school","free/reduced","none","25","36","37"
"female","female","some high school","free/reduced","none","26","34","28"
"female","female","some college","free/reduced","completed","26","44","46"
"female","female","some high school","free/reduced","none","28","38","31"
"female","female","some college","free/reduced","completed","28","44","50"
"male","male","high school","free/reduced","none","29","38","27"
"female","female","high school","free/reduced","none","30","43","40"
"male","male","some college","free/reduced","none","30","33","33"
"female","female","some high school","free/reduced","none","31","38","42"
"female","female","some college","free/reduced","completed","31","29","35"
"female","female","associate's degree","free/reduced","none","32","41","39"
"female","female","some high school","free/reduced","none","32","35","41"
"female","female","some high school","free/reduced","none","33","54","51"
"female","female","high school","free/reduced","none","33","32","35"
"female","female","some high school","free/reduced","none","34","47","45"
"male","male","some college","free/reduced","none","35","44","33"
"male","male","bachelor's degree","free/reduced","none","35","43","35"
"male","male","some college","free/reduced","completed","35","36","39"
"male","male","some college","free/reduced","none","36","27","26"
"female","female","high school","free/reduced","none","36","53","49"
"female","female","associate's degree","free/reduced","none","37","46","43"
"female","female","bachelor's degree","free/reduced","none","37","53","48"
"male","male","high school","free/reduced","none","37","28","23"
"female","female","some high school","free/reduced","completed","38","46","43"
"male","male","associate's degree","free/reduced","none","38","51","47"
"female","female","some college","free/reduced","none","38","47","52"
"male","male","master's degree","free/reduced","none","38","40","41"
"female","female","some high school","free/reduced","none","38","46","33"
"female","female","some high school","free/reduced","none","39","49","48"
"male","male","some college","free/reduced","none","39","32","31"
"female","female","some high school","free/reduced","none","39","51","48"
"female","female","some high school","free/reduced","none","39","50","49"
"female","female","some college","free/reduced","none","40","63","56"
"female","female","master's degree","free/reduced","none","40","59","59"
"female","female","some high school","free/reduced","none","40","59","55"
"male","male","some high school","free/reduced","completed","40","41","39"
"female","female","some high school","free/reduced","completed","40","52","42"
"male","male","some college","free/reduced","none","40","42","39"
"male","male","some high school","free/reduced","completed","41","52","47"
"male","male","some high school","free/reduced","none","41","39","34"
"female","female","high school","free/reduced","none","41","43","40"
"male","male","high school","free/reduced","none","41","42","38"
"female","female","associate's degree","free/reduced","completed","41","56","53"
"male","male","some high school","free/reduced","none","42","40","40"
"female","female","some college","free/reduced","none","42","61","51"
"female","female","master's degree","free/reduced","none","42","50","44"
"male","male","some college","free/reduced","none","43","68","58"
"male","male","bachelor's degree","free/reduced","none","43","34","33"
"male","male","some college","free/reduced","none","43","28","24"
"female","female","some high school","free/reduced","none","43","57","50"
"female","female","high school","free/reduced","completed","43","48","53"
"female","female","bachelor's degree","free/reduced","completed","43","60","60"
"female","female","some college","free/reduced","none","44","55","54"
"male","male","some college","free/reduced","none","44","53","43"
"male","male","high school","free/reduced","none","45","52","49"
"female","female","high school","free/reduced","none","45","46","49"
"female","female","associate's degree","free/reduced","completed","45","72","66"
"male","male","some college","free/reduced","none","45","45","38"
"female","female","some high school","free/reduced","completed","45","56","55"
"male","male","some high school","free/reduced","none","45","31","27"
"male","male","some college","free/reduced","none","45","50","42"
"male","male","high school","free/reduced","none","45","33","32"
"female","female","some college","free/reduced","none","45","59","56"
"female","female","some college","free/reduced","completed","46","58","64"
"male","male","associate's degree","free/reduced","none","46","44","44"
"male","male","some high school","free/reduced","none","46","38","32"
"female","female","high school","free/reduced","none","47","56","51"
"female","female","some high school","free/reduced","none","47","46","49"
"female","female","high school","free/reduced","completed","47","54","56"
"female","female","high school","free/reduced","none","47","49","50"
"male","male","some college","free/reduced","none","47","42","45"
"female","female","some college","free/reduced","completed","47","69","62"
"male","male","high school","free/reduced","none","48","43","41"
"male","male","associate's degree","free/reduced","completed","48","61","59"
"male","male","master's degree","free/reduced","none","48","52","44"
"male","male","bachelor's degree","free/reduced","completed","48","52","57"
"female","female","some high school","free/reduced","none","48","62","61"
"male","male","associate's degree","free/reduced","none","48","49","44"
"female","female","high school","free/reduced","completed","48","71","68"
"male","male","some high school","free/reduced","none","48","39","40"
"female","female","some high school","free/reduced","none","49","64","57"
"female","female","some college","free/reduced","none","49","61","63"
"female","female","high school","free/reduced","none","49","54","58"
"female","female","some high school","free/reduced","none","49","62","60"
"male","male","some college","free/reduced","none","49","54","42"
"male","male","some high school","free/reduced","completed","49","44","41"
"male","male","some college","free/reduced","none","49","48","42"
"male","male","associate's degree","free/reduced","completed","49","37","41"
"male","male","some high school","free/reduced","completed","49","50","45"
"female","female","some high school","free/reduced","completed","49","74","70"
"male","male","some college","free/reduced","none","49","47","48"
"male","male","bachelor's degree","free/reduced","none","49","49","49"
"female","female","master's degree","free/reduced","none","50","64","66"
"female","female","some high school","free/reduced","none","50","59","54"
"male","male","some college","free/reduced","none","50","48","36"
"male","male","some high school","free/reduced","none","50","47","46"
"female","female","some college","free/reduced","none","50","56","60"
"male","male","associate's degree","free/reduced","none","50","48","43"
"female","female","high school","free/reduced","none","50","68","66"
"male","male","high school","free/reduced","none","51","57","50"
"female","female","some high school","free/reduced","completed","51","64","62"
"female","female","some high school","free/reduced","none","51","67","69"
"female","female","high school","free/reduced","none","51","57","57"
"male","male","high school","free/reduced","none","51","57","53"
"female","female","associate's degree","free/reduced","none","51","59","59"
"male","male","high school","free/reduced","none","51","51","45"
"female","female","high school","free/reduced","none","51","61","54"
"male","male","high school","free/reduced","none","51","45","42"
"male","male","some high school","free/reduced","completed","52","63","53"
